1000 1200
19 812 11
76 833 6
227 692 10
298 941 13
348 573 15
953 525 26
421 619 24
648 804 18
847 842 4
593 888 6
420 758 7
684 607 18
18 31 6
299 593 2
953 313 2
111 507 16
719 46 14
261 122 11
158 883 15
125 92 5
706 581 17
27 640 10
885 784 7
8 79 2
449 930 22
226 978 16
753 614 3
72 802 4
539 381 20
871 296 10
845 150 3
539 75 2
940 356 1
906 662 18
965 29 10
585 886 10
624 651 13
800 265 23
90 275 14
786 195 15
463 116 23
585 561 11
578 450 12
339 880 6
609 878 6
407 945 8
672 35 1
582 755 2
554 66 22
120 59 17
856 636 2
593 683 18
623 402 10
692 903 29
861 670 10
706 328 6
481 492 25
193 374 0
542 686 7
0 24 6
338 437 28
415 850 1
279 705 11
404 403 17
806 370 11
143 800 7
277 421 10
297 162 5
492 621 28
145 377 21
44 869 6
785 300 11
805 621 26
478 438 27
252 556 23
938 617 16
445 293 3
265 282 21
258 901 15
992 475 3
224 625 3
965 157 1
587 665 10
508 225 25
359 174 18
682 38 2
415 522 5
324 94 4
587 681 6
129 56 2
179 543 4
620 522 23
17 826 17
322 73 28
79 880 8
605 304 1
984 169 7
211 320 10
962 204 10
916 600 16
894 832 5
731 365 25
883 409 0
957 222 12
498 899 11
550 325 9
794 827 6
921 378 1
94 845 15
227 518 23
766 87 16
365 402 25
883 309 11
668 536 26
296 249 25
308 349 24
218 24 2
302 173 23
328 332 6
407 90 17
328 695 17
681 730 20
239 570 10
875 809 0
426 811 24
888 815 24
798 756 18
12 735 3
945 608 25
500 316 14
341 603 4
464 633 7
264 959 4
422 445 22
806 103 1
310 745 12
732 808 2
515 823 14
235 439 22
735 324 9
684 494 27
68 204 11
781 810 24
653 256 28
90 244 15
142 804 19
607 21 21
906 520 21
760 777 9
511 540 3
451 829 2
427 475 4
598 279 1
929 355 11
515 430 16
487 228 4
667 354 13
834 99 18
587 612 22
890 643 5
803 390 20
676 677 9
109 425 27
582 756 18
825 673 6
738 401 29
845 200 1
243 174 10
181 746 1
893 485 17
127 385 21
909 983 23
599 432 28
149 532 9
22 21 16
735 206 5
44 872 26
34 825 15
895 500 3
62 34 22
873 649 9
85 315 11
461 243 0
248 626 11
775 721 28
762 147 15
479 979 24
790 420 15
406 805 27
928 53 29
735 72 0
967 954 12
613 692 29
371 780 22
19 903 21
918 834 21
824 805 4
784 961 16
98 915 18
158 261 22
619 657 0
634 725 3
168 80 3
515 642 28
247 475 12
717 870 24
810 640 12
652 636 18
355 711 22
961 791 29
449 94 20
80 554 11
933 88 23
456 10 0
177 545 4
966 902 27
569 157 22
266 650 7
122 658 14
361 161 11
794 517 23
592 749 24
289 657 20
898 276 26
303 74 9
951 560 17
199 84 3
896 26 27
767 116 2
551 261 2
26 200 27
541 437 26
232 567 21
964 913 20
803 988 6
937 262 12
293 439 2
372 457 3
225 628 9
908 145 3
38 826 1
578 614 18
772 259 2
344 41 3
573 701 8
177 82 13
941 668 2
69 112 0
870 731 25
35 361 16
580 26 9
856 522 10
775 698 23
140 363 11
434 925 15
501 434 1
672 104 6
290 976 28
296 904 27
323 861 8
949 62 21
616 310 0
160 280 15
649 351 0
843 275 21
379 976 11
931 998 5
871 99 5
191 995 0
835 176 17
18 376 13
167 318 22
213 56 20
741 766 15
889 412 25
245 54 18
983 489 8
383 625 8
465 590 28
508 280 10
205 666 2
165 870 29
510 227 19
242 711 28
317 20 25
699 15 5
417 174 17
286 468 15
466 429 27
532 710 20
639 651 19
248 699 27
690 491 14
209 522 3
625 578 2
361 402 20
683 660 9
37 98 29
894 349 23
21 239 12
422 280 19
176 616 9
470 548 10
21 883 11
712 323 26
810 207 6
968 480 11
256 754 19
381 685 22
866 376 8
295 254 23
628 109 5
277 731 5
487 490 27
480 598 11
801 698 1
412 851 16
822 465 19
855 436 0
462 865 0
68 475 28
251 537 18
539 502 22
800 731 7
566 714 25
916 954 28
384 790 10
255 671 28
394 915 12
676 22 21
556 633 12
474 605 24
723 894 2
126 938 11
228 81 11
757 855 18
703 89 26
882 458 26
928 351 25
929 364 21
701 911 20
3 480 6
36 573 4
469 55 22
128 6 28
801 557 2
41 522 19
819 120 21
308 950 19
107 809 12
660 246 9
861 98 12
967 512 12
65 953 14
989 984 8
649 981 24
713 973 26
673 839 28
227 117 4
833 453 10
255 240 10
231 446 13
158 563 22
791 483 19
156 293 15
762 14 6
5 342 26
825 394 9
298 131 7
556 293 27
602 730 5
824 941 8
977 255 27
825 719 29
667 729 17
999 24 23
509 115 7
179 968 13
730 39 29
969 148 25
45 542 15
348 623 9
343 108 12
315 855 14
129 589 20
789 246 12
732 513 11
779 307 16
987 898 4
71 279 16
778 726 22
528 493 29
186 683 4
375 929 27
691 738 19
148 458 18
971 397 21
750 52 22
113 971 11
135 414 11
249 305 29
168 746 21
109 208 29
581 909 12
959 967 0
948 287 29
993 412 18
881 365 7
44 530 15
662 873 2
226 542 28
395 548 21
687 11 15
153 356 25
17 798 20
279 734 16
323 298 26
48 496 19
425 90 14
256 394 2
804 354 22
517 20 18
262 753 26
236 519 25
747 835 21
283 983 1
133 110 6
497 481 5
511 589 5
409 973 18
694 881 3
456 40 12
181 707 0
559 407 15
945 961 2
383 755 2
193 221 25
341 246 10
889 278 5
709 649 6
997 194 27
329 450 29
266 542 26
89 920 15
322 437 1
17 326 23
857 61 1
907 858 11
797 311 15
129 271 5
708 370 14
382 301 15
837 365 25
310 749 11
967 142 8
709 938 2
674 834 3
867 912 27
137 751 9
101 569 18
608 647 29
411 799 12
959 414 4
92 850 2
660 48 29
536 126 26
896 358 25
496 799 1
14 891 10
395 606 8
57 949 8
697 658 5
40 436 28
692 362 23
193 903 21
354 233 15
294 292 25
20 798 15
640 376 17
45 25 12
672 75 7
128 931 25
972 825 2
846 146 9
316 346 17
399 257 11
548 270 25
699 911 6
343 126 18
311 812 20
345 854 14
538 569 11
885 273 22
549 963 25
18 957 26
666 100 29
591 818 3
179 5 20
888 278 24
958 731 19
246 239 14
318 478 7
337 859 8
830 160 12
253 824 24
536 368 25
408 913 14
271 983 21
972 511 20
434 373 26
205 263 19
702 484 11
938 655 13
341 860 23
986 351 0
808 113 3
194 715 14
554 746 18
958 784 16
349 277 19
770 472 19
232 268 24
309 194 22
158 466 0
992 868 25
734 74 20
976 859 16
803 566 25
591 47 16
769 942 1
369 561 23
354 996 11
505 993 15
207 149 6
330 640 12
948 836 13
357 310 11
379 950 7
687 141 11
1 801 3
514 960 23
580 361 28
297 443 23
582 466 14
764 819 2
337 466 1
805 429 20
812 523 9
984 278 2
663 823 25
284 837 16
500 93 27
379 175 15
53 190 16
333 740 26
394 3 23
832 991 28
998 610 1
840 210 23
56 935 22
378 616 13
393 624 10
932 631 14
883 485 9
198 811 27
45 549 14
308 658 8
122 350 25
710 318 6
248 611 27
325 346 18
245 384 7
106 429 0
664 948 6
884 371 1
548 187 14
727 487 2
883 182 2
398 658 4
642 224 3
452 236 25
268 736 23
143 780 4
921 398 20
467 853 20
398 979 15
703 739 26
758 61 20
333 900 23
958 693 15
683 137 9
135 879 20
850 413 7
803 459 17
457 497 5
219 76 29
455 276 24
632 13 5
534 787 0
818 349 17
81 120 22
668 415 26
67 104 24
254 27 3
186 871 22
249 957 12
373 543 12
162 9 8
506 587 16
19 462 25
484 759 20
929 199 13
160 789 13
499 141 17
287 237 15
537 145 22
272 664 25
164 292 10
854 863 6
234 352 8
215 777 19
653 850 4
176 200 28
144 287 23
541 405 18
791 951 21
735 590 22
416 553 13
732 363 1
424 749 6
713 403 27
426 393 9
647 299 9
601 145 21
104 416 4
355 323 24
988 702 26
316 619 20
468 120 27
678 810 22
492 591 13
58 251 6
696 571 24
83 497 29
922 529 0
371 102 24
531 336 14
975 805 9
140 850 9
446 343 24
736 904 1
957 651 9
222 735 23
707 785 13
288 232 10
957 727 24
861 874 27
654 555 5
774 927 15
771 997 9
971 49 0
998 373 25
540 616 3
571 564 8
454 216 22
46 915 26
845 329 22
651 767 16
230 729 2
899 576 0
171 837 0
209 150 1
183 818 13
975 590 21
649 54 0
590 997 5
580 743 12
485 787 10
755 406 16
554 763 14
357 657 17
612 838 6
982 239 25
304 103 10
586 582 10
96 305 10
355 800 1
68 518 25
929 106 3
887 58 8
800 875 0
428 88 3
677 934 28
513 445 28
848 508 10
501 84 10
960 543 20
508 93 6
913 548 20
327 384 13
962 225 11
685 571 9
151 630 19
403 574 7
714 597 19
322 237 21
712 288 20
483 412 7
997 112 5
327 308 23
977 814 8
753 155 3
549 182 29
767 807 5
439 363 14
963 147 6
868 750 18
453 396 28
312 208 17
135 429 27
433 6 10
259 961 11
250 458 15
307 337 22
842 314 16
18 93 3
532 430 27
160 465 1
27 32 29
690 765 25
149 663 15
343 798 7
719 623 22
947 828 29
75 171 14
995 306 16
397 336 22
84 978 2
397 938 4
337 821 27
828 780 22
275 417 29
506 128 28
213 796 25
50 296 11
286 236 5
171 428 10
470 592 5
346 670 25
993 681 26
159 33 24
44 907 29
773 254 6
273 865 13
15 820 22
408 857 14
250 180 25
447 158 25
857 471 24
187 596 23
929 210 20
336 884 11
73 84 25
507 232 24
293 513 15
148 139 28
509 405 13
723 321 8
952 987 4
748 156 15
199 91 28
42 601 20
